               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 121,            0.068551,             0.65055,                   0,             0.81604,             0.79213,             0.79949,             0.25781,            0.071795,              1.3305,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.059085,             0.55941,                   0,             0.81604,             0.79213,             0.79949,             0.25781,            0.071795,              1.3305,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.061218,             0.63377,                   0,             0.56182,             0.80952,             0.65646,             0.19579,            0.070171,              1.3993,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.068965,             0.69125,                   0,             0.56182,             0.80952,             0.65646,             0.19579,            0.070171,              1.3993,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.064538,             0.60871,                   0,             0.56182,             0.80952,             0.65646,             0.19579,            0.070171,              1.3993,                   0,            0.005908,            0.005908,            0.005908
                 126,             0.06521,             0.61434,                   0,             0.83341,             0.84524,              0.8731,             0.27448,            0.067548,              1.3052,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.057922,              0.4763,                   0,             0.83341,             0.84524,              0.8731,             0.27448,            0.067548,              1.3052,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.064255,             0.60265,                   0,             0.75867,             0.84524,             0.84775,             0.30584,             0.06868,              1.3272,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.061322,             0.55384,                   0,             0.75867,             0.84524,             0.84775,             0.30584,             0.06868,              1.3272,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.061298,             0.50582,                   0,             0.75867,             0.84524,             0.84775,             0.30584,             0.06868,              1.3272,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.062755,             0.65196,                   0,             0.81334,             0.83929,             0.85704,             0.29377,            0.067995,              1.2308,                   0,             0.00571,             0.00571,             0.00571
                 132,             0.06213,             0.64424,                   0,             0.81334,             0.83929,             0.85704,             0.29377,            0.067995,              1.2308,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.064048,             0.70742,                   0,             0.84214,              0.8631,             0.86833,             0.30235,            0.067834,              1.2776,                   0,            0.005644,            0.005644,            0.005644
                 134,             0.06084,              0.6804,                   0,             0.84214,              0.8631,             0.86833,             0.30235,            0.067834,              1.2776,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.063003,              0.6765,                   0,             0.84214,              0.8631,             0.86833,             0.30235,            0.067834,              1.2776,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.056225,             0.49313,                   0,             0.91256,              0.8631,             0.91234,             0.29998,            0.065479,              1.3057,                   0,            0.005545,            0.005545,            0.005545
                 137,              0.0603,             0.56486,                   0,             0.91256,              0.8631,             0.91234,             0.29998,            0.065479,              1.3057,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.055313,              0.5593,                   0,             0.87899,             0.82152,             0.88466,             0.29731,            0.070084,              1.2745,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.063355,              0.6991,                   0,             0.87899,             0.82152,             0.88466,             0.29731,            0.070084,              1.2745,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.064615,             0.67142,                   0,             0.87899,             0.82152,             0.88466,             0.29731,            0.070084,              1.2745,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.062436,             0.64921,                   0,             0.56892,             0.62061,             0.49429,             0.14813,            0.072246,              1.3255,                   0,             0.00538,             0.00538,             0.00538
                 142,            0.063029,             0.63018,                   0,             0.56892,             0.62061,             0.49429,             0.14813,            0.072246,              1.3255,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.065285,             0.58552,                   0,             0.75455,             0.86006,             0.84326,             0.32418,            0.066862,              1.2936,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.060119,             0.57044,                   0,             0.75455,             0.86006,             0.84326,             0.32418,            0.066862,              1.2936,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.064252,             0.58391,                   0,             0.75455,             0.86006,             0.84326,             0.32418,            0.066862,              1.2936,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.064186,             0.68503,                   0,             0.81915,             0.85119,              0.8565,             0.30093,            0.066485,               1.307,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.060103,             0.69175,                   0,             0.81915,             0.85119,              0.8565,             0.30093,            0.066485,               1.307,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.056233,             0.57336,                   0,             0.76912,             0.85266,             0.82605,             0.29552,            0.065335,              1.2379,                   0,            0.005149,            0.005149,            0.005149
                 149,            0.058797,             0.59512,                   0,             0.76912,             0.85266,             0.82605,             0.29552,            0.065335,              1.2379,                   0,            0.005116,            0.005116,            0.005116
                 150,             0.05881,              0.5732,                   0,             0.76912,             0.85266,             0.82605,             0.29552,            0.065335,              1.2379,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.061574,             0.63898,                   0,              0.7592,             0.80699,              0.8057,             0.25369,            0.067804,              1.3655,                   0,             0.00505,             0.00505,             0.00505
                 152,              0.0619,             0.57189,                   0,              0.7592,             0.80699,              0.8057,             0.25369,            0.067804,              1.3655,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.063442,             0.62313,                   0,             0.86774,               0.875,             0.91617,             0.34947,            0.063916,              1.2081,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.060805,             0.61439,                   0,             0.86774,               0.875,             0.91617,             0.34947,            0.063916,              1.2081,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.069039,             0.85074,                   0,             0.86774,               0.875,             0.91617,             0.34947,            0.063916,              1.2081,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.054603,              0.6176,                   0,             0.80841,             0.82882,             0.82832,             0.25891,            0.066948,              1.3658,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.061469,             0.62836,                   0,             0.80841,             0.82882,             0.82832,             0.25891,            0.066948,              1.3658,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.058219,             0.71154,                   0,             0.76536,             0.75721,             0.76189,             0.20523,            0.070971,              1.4018,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.059161,             0.61427,                   0,             0.76536,             0.75721,             0.76189,             0.20523,            0.070971,              1.4018,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.058901,             0.65952,                   0,             0.76536,             0.75721,             0.76189,             0.20523,            0.070971,              1.4018,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.055225,             0.59921,                   0,             0.75781,             0.75595,             0.77192,             0.20075,            0.070094,              1.3864,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.054628,             0.57078,                   0,             0.75781,             0.75595,             0.77192,             0.20075,            0.070094,              1.3864,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.054227,             0.54259,                   0,             0.69567,             0.72114,             0.70549,             0.21765,            0.069814,              1.4073,                   0,            0.004654,            0.004654,            0.004654
                 164,            0.063136,             0.60026,                   0,             0.69567,             0.72114,             0.70549,             0.21765,            0.069814,              1.4073,                   0,            0.004621,            0.004621,            0.004621
                 165,             0.05749,             0.54804,                   0,             0.69567,             0.72114,             0.70549,             0.21765,            0.069814,              1.4073,                   0,            0.004588,            0.004588,            0.004588
                 166,            0.055694,             0.55363,                   0,             0.82001,              0.7619,             0.81319,             0.25762,            0.069538,              1.3991,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.060541,             0.66897,                   0,             0.82001,              0.7619,             0.81319,             0.25762,            0.069538,              1.3991,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.058251,             0.54438,                   0,             0.71139,             0.68452,             0.72885,              0.2095,              0.0716,              1.4036,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.064363,             0.69471,                   0,             0.71139,             0.68452,             0.72885,              0.2095,              0.0716,              1.4036,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.062153,             0.60606,                   0,             0.71139,             0.68452,             0.72885,              0.2095,              0.0716,              1.4036,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.055281,             0.52703,                   0,             0.70249,             0.64653,             0.64717,             0.19715,             0.07304,              1.4878,                   0,             0.00439,             0.00439,             0.00439
