               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                 112,            0.071413,             0.37121,                   0,             0.76471,             0.75242,             0.80686,             0.34254,            0.063814,             0.68666,                   0,            0.006337,            0.006337,            0.006337
                 113,            0.063066,             0.36728,                   0,             0.89653,             0.84526,             0.90916,             0.43992,            0.054939,             0.66758,                   0,            0.006304,            0.006304,            0.006304
                 114,            0.063516,             0.39975,                   0,             0.62368,             0.86267,             0.74233,             0.40545,            0.056227,             0.68738,                   0,            0.006271,            0.006271,            0.006271
                 115,            0.063631,             0.39676,                   0,             0.83347,              0.7911,             0.85741,             0.37199,            0.062969,             0.69998,                   0,            0.006238,            0.006238,            0.006238
                 116,            0.066212,             0.37794,                   0,             0.83347,              0.7911,             0.85741,             0.37199,            0.062969,             0.69998,                   0,            0.006205,            0.006205,            0.006205
                 117,            0.061073,             0.39304,                   0,             0.87264,             0.82012,             0.88923,             0.42046,            0.054584,             0.68102,                   0,            0.006172,            0.006172,            0.006172
                 118,            0.060944,             0.41355,                   0,             0.50825,             0.70986,              0.4885,             0.23447,            0.060123,             0.74173,                   0,            0.006139,            0.006139,            0.006139
                 119,            0.071482,             0.40322,                   0,             0.68514,             0.82494,             0.76458,                 0.4,            0.055982,             0.68171,                   0,            0.006106,            0.006106,            0.006106
                 120,            0.063457,             0.40963,                   0,             0.68514,             0.82494,             0.76458,                 0.4,            0.055982,             0.68171,                   0,            0.006073,            0.006073,            0.006073
                 121,            0.061945,             0.43549,                   0,              0.8638,             0.84644,             0.92208,             0.50381,            0.053505,             0.68514,                   0,             0.00604,             0.00604,             0.00604
                 122,            0.060296,             0.38429,                   0,             0.88697,              0.8472,              0.9191,             0.49884,             0.05236,             0.65728,                   0,            0.006007,            0.006007,            0.006007
                 123,            0.061296,             0.38466,                   0,             0.84163,             0.78143,             0.89471,             0.48147,            0.056587,             0.70295,                   0,            0.005974,            0.005974,            0.005974
                 124,            0.064603,             0.36397,                   0,             0.84163,             0.78143,             0.89471,             0.48147,            0.056587,             0.70295,                   0,            0.005941,            0.005941,            0.005941
                 125,            0.057353,             0.39545,                   0,             0.90967,             0.91296,             0.95124,             0.49181,            0.050476,             0.66059,                   0,            0.005908,            0.005908,            0.005908
                 126,            0.059456,             0.42508,                   0,             0.79217,             0.85106,             0.89537,             0.45766,            0.054866,             0.70305,                   0,            0.005875,            0.005875,            0.005875
                 127,            0.063064,             0.39073,                   0,             0.88802,             0.84367,             0.91344,             0.47442,            0.052047,             0.66039,                   0,            0.005842,            0.005842,            0.005842
                 128,            0.061904,             0.38055,                   0,             0.88802,             0.84367,             0.91344,             0.47442,            0.052047,             0.66039,                   0,            0.005809,            0.005809,            0.005809
                 129,            0.060402,             0.38122,                   0,              0.8465,             0.85333,             0.89502,             0.47887,            0.054369,             0.66519,                   0,            0.005776,            0.005776,            0.005776
                 130,            0.061066,             0.35826,                   0,             0.83836,             0.84333,             0.91375,             0.49969,            0.059661,             0.65637,                   0,            0.005743,            0.005743,            0.005743
                 131,            0.065198,              0.3884,                   0,             0.88253,             0.88975,              0.9437,             0.51782,            0.050456,             0.66228,                   0,             0.00571,             0.00571,             0.00571
                 132,            0.061999,             0.40703,                   0,             0.88253,             0.88975,              0.9437,             0.51782,            0.050456,             0.66228,                   0,            0.005677,            0.005677,            0.005677
                 133,            0.060434,              0.3927,                   0,             0.88051,             0.89792,             0.93752,             0.49687,            0.051426,             0.65805,                   0,            0.005644,            0.005644,            0.005644
                 134,            0.060338,             0.38295,                   0,             0.81398,             0.88024,             0.88212,             0.46428,             0.05253,             0.68003,                   0,            0.005611,            0.005611,            0.005611
                 135,            0.062481,             0.38161,                   0,             0.91648,             0.84895,             0.92512,             0.47579,            0.051274,             0.66026,                   0,            0.005578,            0.005578,            0.005578
                 136,            0.061172,             0.38597,                   0,             0.91648,             0.84895,             0.92512,             0.47579,            0.051274,             0.66026,                   0,            0.005545,            0.005545,            0.005545
                 137,            0.059564,             0.41015,                   0,             0.87118,             0.82407,             0.90431,             0.45134,            0.054957,             0.66669,                   0,            0.005512,            0.005512,            0.005512
                 138,            0.060648,             0.36989,                   0,             0.89502,             0.84526,             0.91823,             0.44738,            0.050171,             0.66863,                   0,            0.005479,            0.005479,            0.005479
                 139,            0.061313,             0.37287,                   0,              0.8979,             0.82592,             0.91006,             0.47159,            0.055807,             0.68515,                   0,            0.005446,            0.005446,            0.005446
                 140,            0.061038,             0.39021,                   0,              0.8979,             0.82592,             0.91006,             0.47159,            0.055807,             0.68515,                   0,            0.005413,            0.005413,            0.005413
                 141,            0.060311,             0.36291,                   0,             0.88769,             0.79304,             0.88733,             0.45378,            0.053574,             0.67927,                   0,             0.00538,             0.00538,             0.00538
                 142,             0.06464,               0.423,                   0,             0.89266,             0.84913,             0.92593,             0.50034,            0.048381,             0.67614,                   0,            0.005347,            0.005347,            0.005347
                 143,            0.062683,             0.38421,                   0,             0.91492,              0.7853,             0.89752,             0.49979,            0.058461,             0.68268,                   0,            0.005314,            0.005314,            0.005314
                 144,            0.064796,             0.36866,                   0,             0.91492,              0.7853,             0.89752,             0.49979,            0.058461,             0.68268,                   0,            0.005281,            0.005281,            0.005281
                 145,            0.060667,             0.39469,                   0,             0.90573,             0.83752,             0.91954,              0.5184,            0.051082,             0.67808,                   0,            0.005248,            0.005248,            0.005248
                 146,            0.058757,             0.35977,                   0,             0.90264,             0.87874,             0.94034,             0.49664,            0.049203,             0.67835,                   0,            0.005215,            0.005215,            0.005215
                 147,            0.060475,             0.37207,                   0,             0.86793,             0.79304,             0.85978,             0.33642,            0.057426,             0.69675,                   0,            0.005182,            0.005182,            0.005182
                 148,            0.064797,             0.37612,                   0,             0.86793,             0.79304,             0.85978,             0.33642,            0.057426,             0.69675,                   0,            0.005149,            0.005149,            0.005149
                 149,             0.05749,             0.37403,                   0,             0.88934,             0.81625,             0.90367,             0.45671,            0.053882,             0.67013,                   0,            0.005116,            0.005116,            0.005116
                 150,            0.058235,             0.38617,                   0,             0.86493,             0.87621,             0.93025,             0.48351,            0.048475,             0.68048,                   0,            0.005083,            0.005083,            0.005083
                 151,            0.057059,             0.36914,                   0,             0.91132,             0.82012,              0.9131,             0.44576,            0.053077,             0.68213,                   0,             0.00505,             0.00505,             0.00505
                 152,            0.061005,             0.38913,                   0,             0.91132,             0.82012,              0.9131,             0.44576,            0.053077,             0.68213,                   0,            0.005017,            0.005017,            0.005017
                 153,            0.057743,             0.36792,                   0,             0.91213,             0.86267,             0.93934,             0.51382,            0.048337,             0.65047,                   0,            0.004984,            0.004984,            0.004984
                 154,            0.059938,             0.33155,                   0,             0.64274,             0.88975,             0.79109,             0.45667,            0.059197,             0.66691,                   0,            0.004951,            0.004951,            0.004951
                 155,            0.067285,             0.40873,                   0,             0.91023,             0.80408,             0.91986,             0.49848,            0.051126,              0.6807,                   0,            0.004918,            0.004918,            0.004918
                 156,            0.064039,             0.37593,                   0,             0.91023,             0.80408,             0.91986,             0.49848,            0.051126,              0.6807,                   0,            0.004885,            0.004885,            0.004885
                 157,            0.058344,             0.39418,                   0,             0.90174,             0.90909,             0.94923,              0.5349,            0.047282,             0.66681,                   0,            0.004852,            0.004852,            0.004852
                 158,            0.058333,             0.37506,                   0,             0.90618,             0.90135,             0.94405,             0.52657,            0.053278,             0.66591,                   0,            0.004819,            0.004819,            0.004819
                 159,            0.058127,             0.36061,                   0,              0.8844,             0.90135,             0.94026,             0.50406,            0.050763,             0.65264,                   0,            0.004786,            0.004786,            0.004786
                 160,            0.059886,             0.35173,                   0,              0.8844,             0.90135,             0.94026,             0.50406,            0.050763,             0.65264,                   0,            0.004753,            0.004753,            0.004753
                 161,            0.060447,             0.37959,                   0,             0.86897,             0.88512,             0.92909,             0.50992,              0.0497,             0.65631,                   0,             0.00472,             0.00472,             0.00472
                 162,            0.060107,             0.36601,                   0,             0.86774,             0.84913,             0.92763,             0.51838,            0.053518,             0.66271,                   0,            0.004687,            0.004687,            0.004687
                 163,            0.059996,             0.34542,                   0,             0.91687,             0.83172,             0.92855,             0.52834,              0.0478,             0.68097,                   0,            0.004654,            0.004654,            0.004654
                 164,             0.06212,             0.42019,                   0,             0.91687,             0.83172,             0.92855,             0.52834,              0.0478,             0.68097,                   0,            0.004621,            0.004621,            0.004621
                 165,            0.059541,             0.40048,                   0,             0.91688,             0.91876,             0.95081,             0.53369,            0.048706,             0.66751,                   0,            0.004588,            0.004588,            0.004588
                 166,             0.05803,              0.3496,                   0,             0.91198,             0.85493,             0.93633,             0.52879,            0.049752,             0.66609,                   0,            0.004555,            0.004555,            0.004555
                 167,            0.058132,             0.37243,                   0,               0.778,             0.80077,             0.83416,             0.49301,             0.05161,             0.68981,                   0,            0.004522,            0.004522,            0.004522
                 168,            0.062257,             0.41692,                   0,               0.778,             0.80077,             0.83416,             0.49301,             0.05161,             0.68981,                   0,            0.004489,            0.004489,            0.004489
                 169,            0.058597,             0.38263,                   0,             0.91556,              0.8179,              0.9211,             0.52549,            0.046778,              0.6683,                   0,            0.004456,            0.004456,            0.004456
                 170,            0.058864,             0.36094,                   0,             0.82439,             0.84526,             0.89588,             0.52006,             0.05047,             0.65372,                   0,            0.004423,            0.004423,            0.004423
                 171,            0.058373,             0.38638,                   0,             0.85879,             0.79691,             0.89838,             0.50757,            0.051454,             0.66792,                   0,             0.00439,             0.00439,             0.00439
